model,accuracy,f1,precision,recall,f1_binary,auroc,ap,span_precision,span_recall,span_f1,exact_match_rate
lexical_span_verifier,0.5664251207729468,0.5232403718459495,0.5295698924731183,0.5170603674540682,0.5232403718459495,0.6025060625811036,0.5549936463828637,0.03761467889908257,0.08866782006920415,0.052821437773769644,0.036231884057971016
lettuce_span_supervised,0.677536231884058,0.6317241379310344,0.6656976744186046,0.6010498687664042,0.6317241379310344,0.7214236643238388,0.639676166479584,0.12371301175516822,0.6600346020761245,0.20837031474021983,0.32004830917874394
lookback_span_supervised,0.4891304347826087,0.5607476635514018,0.4639175257731959,0.7086614173228346,0.5607476635514018,0.5106807118908794,0.4658353137231839,0.0,0.0,0.0,0.7898550724637681
soft_vote_ensemble,0.6763285024154589,0.6590330788804071,0.6395061728395062,0.6797900262467191,0.6590330788804071,0.7211153974880656,0.6610234084143309,0.1029394391760549,0.6909602076124568,0.17918399775669488,0.026570048309178744
